gene	WT_0.5mM	WT_10mM	arp6_0.5mM	arp6_10mM	cluster_5_pearson	cluster_5_pearson_color
AT1G03545	1.1461650622447452	0.32841436689459585	-0.23334884899470273	-1.2412305801446384	3	#BEBADA
AT1G03820	0.9842458620077128	0.5719975243558946	-1.2103629003821612	-0.34588048598144583	5	#80B1D3
AT1G03940	0.9385319996225524	0.9331348252839968	-0.8953651624426148	-0.976301662463935	5	#80B1D3
AT1G04313	1.2325627434816666	0.2915519774863615	-0.7620573604840142	-0.7620573604840142	3	#BEBADA
AT1G04317	1.2608850724123124	0.4119704076725355	-0.8543926653269723	-0.8184628147578756	5	#80B1D3
AT1G04343	1.1341521813236455	0.5549030374778936	-0.559232619854724	-1.1298225989468151	3	#BEBADA
AT1G04425	1.1353216222913487	0.7395171604693993	-0.9445639202552761	-0.9302748625054716	5	#80B1D3
AT1G04433	0.5611992181988582	1.057427731678249	-0.8059097269297499	-0.8127172229473573	4	#FB8072
AT1G04463	-0.7103824627035411	-1.0609589740511833	0.905821461374109	0.8655199753806155	1	#8DD3C7
AT1G04540	-0.4942887594353454	-1.0033455012530217	0.7813091225109191	0.7163251381774475	1	#8DD3C7
AT1G04880	-0.8760630530595728	-0.9496317638891434	0.9901228376421118	0.8355719793066041	1	#8DD3C7
AT1G04917	0.76845366230195	0.872504909768369	-0.5838762196178794	-1.0570823524524395	5	#80B1D3
AT1G05035	1.2723810946585319	0.27240252741899434	-0.7723918110387632	-0.7723918110387632	3	#BEBADA
AT1G05080	-0.8643167908632606	-0.7319578581330708	1.4490964350977076	0.14717821389862382	1	#8DD3C7
AT1G05187	0.9425355142159085	0.9191585148139396	-0.9789111518172019	-0.8827828772126464	5	#80B1D3
AT1G05243	0.9021838630031932	0.9921230060071405	-0.9461056299697368	-0.9482012390405972	5	#80B1D3
AT1G05250	-0.7554123950334822	-0.8899422738268	1.4496107020706965	0.19574396678958594	1	#8DD3C7
AT1G05267	0.849013132055405	0.9443186039593795	-0.8340790362598538	-0.9592526997549303	5	#80B1D3
AT1G05293	0.8310054235447333	0.8991541643188539	-0.8119583406179453	-0.918201247245641	5	#80B1D3
AT1G05460	1.1401849041716452	0.623724466496412	-0.956038293216637	-0.8078710774514195	5	#80B1D3
AT1G05503	1.255575697364574	0.4622706360465661	-0.8589231667055701	-0.8589231667055701	5	#80B1D3
AT1G05710	0.767728115897441	1.0516013900810626	-1.0394939335828992	-0.7798355723956036	5	#80B1D3
AT1G05780	1.1678055373265026	0.6473855571522402	-1.1591253175666667	-0.6560657769120757	5	#80B1D3
AT1G05820	1.1659769450964186	0.41861884385272047	-0.6295835317334711	-0.9550122572156675	3	#BEBADA
AT1G05835	0.6204008745581598	0.9887618643938695	-0.8225338893525103	-0.786628849599519	5	#80B1D3
AT1G05867	-0.3896481063677389	-1.25349509944551	1.0311331135433033	0.6120100922699455	1	#8DD3C7
AT1G05927	0.9483983430258628	0.9636541320475115	-0.9560262375366871	-0.9560262375366871	5	#80B1D3
AT1G06010	0.9657627524186077	0.6735475199658725	-0.5410199097927895	-1.0982903625916913	5	#80B1D3
AT1G06030	-0.7616319659678922	-0.9854012983079342	1.2201801842731501	0.5268530800026765	1	#8DD3C7
AT1G06080	-0.6733300611320971	-0.7154946091329776	0.08104143236245272	1.3077832379026222	2	#FFFFB3
AT1G06590	1.1502442379106883	0.6221245378458341	-0.9125208467659268	-0.8598479289905956	5	#80B1D3
AT1G06630	1.2668480388165584	0.5109689347537971	-0.6459285394269761	-1.1318884341433786	3	#BEBADA
AT1G06960	0.9376016145060302	0.9536909528359454	-0.9816878599761781	-0.9096047073657971	5	#80B1D3
AT1G07167	-0.955570931411261	-0.7906059356703012	1.0414645366939974	0.7047123303875644	1	#8DD3C7
AT1G07173	-0.8774288159643621	-0.9612223774083503	0.9036567283519654	0.9349944650207473	1	#8DD3C7
AT1G07615	0.8332236159140667	0.5209073566219101	-0.17093515657141223	-1.1831958159645657	5	#80B1D3
AT1G07620	-0.7756715443390529	-0.4753262887350046	1.258281141118745	-0.007283308044687021	1	#8DD3C7
AT1G07887	-0.9847517641041695	-0.9080724258411206	0.8825946855478649	1.010229504397425	1	#8DD3C7
AT1G08530	0.3114208017274517	1.2840869680568332	-1.1713137923799972	-0.42419397740428644	4	#FB8072
AT1G08733	-0.9590829125394941	-0.7568878156549789	0.9891675186579868	0.7268032095364861	1	#8DD3C7
AT1G08825	1.063054087974902	0.7897651701887864	-0.9453874377748195	-0.9074318203888693	5	#80B1D3
AT1G08835	1.2366037010626938	0.4445751288210496	-0.5140891738659686	-1.1670896560177746	3	#BEBADA
AT1G09195	1.2258231251775675	0.4720372305126703	-0.5583429489955749	-1.139517406694663	3	#BEBADA
AT1G09415	-0.4932044225992933	-0.6859574635393626	0.06664894722996513	1.1125129389086919	2	#FFFFB3
AT1G09475	-0.6464213789943102	-0.9227042544814656	0.8647382089886235	0.7043874244871523	1	#8DD3C7
AT1G09500	-0.9954630759282646	-0.7207549466652408	0.5567135542441296	1.1595044683493756	2	#FFFFB3
AT1G09815	0.9684920240077627	0.8997315139566561	-0.852374351025553	-1.0158491869388646	5	#80B1D3
AT1G09995	1.2198216972572662	0.6002212776676433	-0.8949480329000536	-0.9250949420248559	5	#80B1D3
AT1G10000	1.1519597713431213	0.6293978023421987	-0.89067878684266	-0.89067878684266	5	#80B1D3
AT1G10160	1.0351553067957797	0.83520451514471294	-0.9203751574662375	-0.9499846644742548	5	#80B1D3
AT1G10300	1.3480810236135423	0.18409608972582767	-0.4212288219698888	-1.1109482913694815	3	#BEBADA
AT1G10770	-0.9802963046503779	-0.7188672970171243	0.3640425387902105	1.3351210628772914	2	#FFFFB3
AT1G10875	-0.8706756218791981	-0.8706756218791981	1.3262059276823377	0.41514531607605865	1	#8DD3C7
AT1G11040	-0.6746800835758218	-0.6998861803244176	0.9800953127498949	0.39447095115034475	1	#8DD3C7
AT1G11280	1.0516855587678795	0.8350340326869735	-0.8915871745506809	-0.9951324169041725	5	#80B1D3
AT1G11380	0.87487187063235194	0.7352069116517733	-0.903704636243619	-0.7063741460405061	5	#80B1D3
AT1G11880	0.9581996844911849	0.9316254119012763	-0.8547883957111408	-1.03503670068132	5	#80B1D3
AT1G12010	0.6503868084125076	1.108993268784173	-1.0687597614286384	-0.690620315768042	5	#80B1D3
AT1G12160	0.9782083352532349	0.8033759004893927	-0.7553273448236509	-1.026256890918976	5	#80B1D3
AT1G12210	1.0449951929469639	0.7961913124356966	-0.891665596095189	-0.949520909287472	5	#80B1D3
AT1G12211	0.9784688883445423	0.8185774273707218	-0.8588993279798576	-0.9381469877354061	5	#80B1D3
AT1G12220	0.8583588496567413	1.0006978737191972	-0.9304234021021313	-0.9286333212738068	5	#80B1D3
AT1G12370	1.103592321264189	0.5685191299886383	-0.38824608730507937	-1.2838653639477469	5	#80B1D3
AT1G12400	0.8202572135099676	0.9018767170816219	-1.1638834771654447	-0.558250453426144	5	#80B1D3
AT1G12530	0.9163654235682291	0.885628472966549	-0.8987457386691864	-0.9032481578655915	5	#80B1D3
AT1G12730	0.9317460656457477	0.8961981415986372	-0.903391712468568	-0.9245524947758177	5	#80B1D3
AT1G12775	0.8384654280051567	1.0329355914580152	-0.9051203441772434	-0.9662806752859284	5	#80B1D3
AT1G13140	0.8984885241714841	0.9285076398371755	-0.9124700665078911	-0.9145260975007681	5	#80B1D3
AT1G13780	0.9200873450455522	0.9690381733925968	-1.0302284034528602	-0.8588971149852883	5	#80B1D3
AT1G14130	0.9733556252846496	0.6711952195749911	-0.790757433014413	-0.8537934118452282	5	#80B1D3
AT1G14520	0.759445799733262	1.0644510878533788	-0.912999296607579	-0.9108975909790618	5	#80B1D3
AT1G14530	0.9871490779108238	0.9076755758077731	-0.9585142727932404	-0.9363103809253566	5	#80B1D3
AT1G14660	1.0531898107115725	0.3768717288557999	-0.18766415054182628	-1.2423973890255466	5	#80B1D3
AT1G14890	0.7423379422580505	1.111046004882275	-0.9076253370636321	-0.9457586100766935	5	#80B1D3
