gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G21650	314.2491226852453	-2.028826102703392	0.19412336177796508	-10.451220729547885	1.446512237877882e-25	4.615351411964145e-23
AT2G40920	109.2998096253933	-3.6194129073755277	0.34680297205708216	-10.436510638610644	1.6890551581449995e-25	5.317370845194878e-23
AT5G43470	594.6795503168984	-2.0028708359058935	0.19202083150030197	-10.430487256288878	1.799630578211936e-25	5.590931260810793e-23
AT1G14890	104.74025185438012	-3.4922651693719726	0.3361616917718965	-10.388647055422542	2.792865738864896e-25	8.563941942901177e-23
AT1G09421	244.97019125717742	2.2572782925497616	0.21882750017732064	10.315331897136513	6.007338572277763e-25	1.8184521926929524e-22
AT5G26270	93.16435209668619	-3.4952711175926385	0.3434366510700942	-10.17733869318236	2.503135088850331e-24	7.481205390233565e-22
AT5G43270	202.78307166150734	-2.2053499250340667	0.21708282329994436	-10.159025442500923	3.020807620177415e-24	8.915536090001117e-22
AT2G38140	966.4009183628598	-1.2183337967973915	0.121393378723735	-10.036245877710142	1.056175352472363e-23	3.078685956447526e-21
AT5G15360	70.66786804107656	5.335844491730189	0.5331047329197229	10.008998536754094	1.3915399354811923e-23	4.0067865142251745e-21
AT1G02260	206.67199232950009	-2.9425076421874357	0.2954953148300074	-9.957882560270717	2.3297162114409955e-23	6.627340899799198e-21
AT5G28050	969.7482679651154	-1.182502190308558	0.11936226333331935	-9.906834516085024	3.887686467778035e-23	1.0927638713179426e-20
AT2G14080	220.31874597793978	-2.354868505930916	0.2379662232867645	-9.895809890184074	4.3408250300349406e-23	1.2057790562841762e-20
AT1G05240	129.76156143406453	3.0818565152113213	0.3128818357628153	9.849905500898327	6.860845241805376e-23	1.8836211279565898e-20
AT2G22970	308.8332795229976	-1.7013199699383055	0.1741626742697837	-9.76856824845779	1.5360740664679483e-22	4.168763768203992e-20
AT3G22960	2690.9612159317203	-0.9215715524731709	0.09472602668019978	-9.728810388980493	2.2723477010366914e-22	6.096863814679241e-20
AT5G45040	286.023417819551	1.6656707332943874	0.17154254442886832	9.70995701876786	2.734524018530575e-22	7.25447714623881e-20
AT2G32910	762.8931232427487	1.1524335218487665	0.11955776186092837	9.639135961655898	5.464598806264656e-22	1.4336071379412755e-19
AT2G25964	290.3774629372586	1.8230637542540757	0.19034662573579658	9.577599535620402	9.932657083814622e-22	2.57714248797744e-19
AT3G16450	1861.285060832593	-0.8667751466465803	0.09080203987160934	-9.545767340383186	1.3510368192886216e-21	3.4673185152417e-19
AT2G15080	147.47104757313576	-3.6845983737715313	0.38638820702494064	-9.536001116963948	1.4844628527626455e-21	3.768779829739658e-19
AT1G52040	138.22290380055819	4.090574717309763	0.432707840745857	9.453433314864029	3.2789528955744453e-21	8.236101789085981e-19
